#uniacc,domains,threshold
Q9FIP9;MA0568.1;MYC3
O49687;MA0569.1;MYC4
Q9M7Q5;MA0570.1;ABF1
Q38914;MA0571.1;ANT
O04292;MA0573.1;ATHB-9
Q9LTC4;MA0574.1;MYB15
Q9SN12;MA0575.1;F3A4.140
Q9M2Y9;MA0576.1;RAX3
P93015;MA0577.1;SPL3
Q8GXL3;MA0578.1;SPL8
P92948;MA0579.1;CDC5
O81900;MA0580.1;DYT1
Q1PFR7;MA0581.1;LEC2
Q9ZWM9;MA0582.1;RAV1
Q9ZWM9;MA0583.1;RAV1(var.2)
P29382;MA0584.1;SEP1
P29381;MA0585.1;AGL1
Q8RY95;MA0586.1;SPL14
Q9M1U4;MA0587.1;TCP16
Q39237;MA0588.1;TGA1
Q9SI37;MA0589.1;ZAP1
Q00958;MA0590.1;LFY
P97302;MA0591.1;Bach1::Mafk
Q61827;MA0591.1;Bach1::Mafk
O08580;MA0592.2;Esrra
O15409;MA0593.1;FOXP2
P09631;MA0594.1;Hoxa9
P36956;MA0595.1;SREBF1
Q12772;MA0596.1;SREBF2
Q9NVV9;MA0597.1;THAP1
Q9NZC4;MA0598.2;EHF
Q13887;MA0599.1;KLF5
P48378;MA0600.2;RFX2
Q9Z1N7;MA0601.1;Arid3b
Q3U108;MA0602.1;Arid5a
Q9WTL8;MA0603.1;Arntl
P81269;MA0604.1;Atf1
Q60765;MA0605.1;Atf3
F1NSH4;MA0606.1;NFAT5
Q9QYC3;MA0607.1;Bhlha15
Q8BH52;MA0608.1;Creb3l2
P27699;MA0609.1;Crem
Q9NQL9;MA0610.1;DMRT3
A1JVI8;MA0611.1;Dux
Q04741;MA0612.1;EMX1
P55316;MA0613.1;FOXG1
Q9ES18;MA0614.1;Foxj2
Q9JL60;MA0615.1;Gmeb1
O54792;MA0616.1;Hes2
P41136;MA0617.1;Id2
P52954;MA0618.1;LBX1
F1NCE0;MA0619.1;LIN54
Q08874;MA0620.1;Mitf
P21711;MA0621.1;mix-a
